system:index,gain_ha,gain_m2,.geo
00000000000000000002,12.992556488506843,129925.56488506842,"{""type"":""Polygon"",""coordinates"":[[[72.92194920376465,19.073791360745837],[72.92384436851528,19.07444240803472],[72.92709943140335,19.07496857908254],[72.92986852952424,19.074259606818927],[72.93187519761894,19.072899565004242],[72.93336448462574,19.071352266022426],[72.93527749194114,19.067530778364493],[72.93566544449067,19.06553762910788],[72.93778344699918,19.060810915808595],[72.93941994541527,19.059174460528567],[72.9410163315677,19.0583986002191],[72.94458358284018,19.058193478642064],[72.94658571138018,19.059272572905396],[72.94955553133906,19.061765227745052],[72.95028236877403,19.062496465751007],[72.95027344777263,19.06278187611947],[72.9523915003605,19.064877667818227],[72.95444717824739,19.06555100028938],[72.95582945459178,19.066393768288734],[72.95689967696698,19.0663714518528],[72.95779589550642,19.06667911013611],[72.96024394431659,19.065417148323853],[72.96147471724993,19.061939060947317],[72.96222377447408,19.060837653751868],[72.96222377447408,19.06023125579611],[72.96476548737157,19.060280312380453],[72.97444173160505,19.06305833510931],[72.98059083780859,19.064177598196327],[72.98235218792426,19.065372598800355],[72.98280259193051,19.0667504669538],[72.98273123372165,19.072172747043407],[72.98415370868578,19.074272957485167],[72.9844435544757,19.077224895713176],[72.984733309811,19.078081018136825],[72.98918798292212,19.078076595716738],[72.99110990917238,19.08194704777302],[72.99167615905999,19.082491065618257],[72.99168958326513,19.085411758764977],[72.99073979633732,19.085875576440337],[72.98616027755874,19.085286963296365],[72.98583475524424,19.088613413535715],[72.98524173225717,19.091048086946845],[72.98527290609465,19.094222986995085],[72.98470213590211,19.096452521707917],[72.98416262840922,19.097495949628104],[72.98389062174151,19.10083586037578],[72.98345355439118,19.10166522209307],[72.98100106084085,19.100278444124946],[72.979150591619,19.10140211541572],[72.9783256333807,19.10750219127821],[72.97834347326827,19.108376180384393],[72.97894101862215,19.10953549550622],[72.97886965924454,19.113040350632772],[72.97936457933207,19.113517547568193],[72.97888749909096,19.114440587086577],[72.97861548633645,19.11588532719808],[72.97974362993294,19.119769142853727],[72.98110809893171,19.121115778427004],[72.98254391832059,19.12139228395987],[72.9830522553927,19.121976428006334],[72.98249931939364,19.123051054689412],[72.98222289595708,19.12500413002513],[72.98091186239468,19.12943648606029],[72.98139344350383,19.130832216779414],[72.98166545305384,19.132223451037433],[72.98304333562723,19.133935733853164],[72.98243688088172,19.135112970545006],[72.98250823917971,19.138590998671077],[72.98194638209729,19.140865203247117],[72.98250382433613,19.14193980579088],[72.98336444697165,19.14565421394726],[72.98337336672498,19.149649648172286],[72.98295864288771,19.150456661575355],[72.98306568008961,19.155544580014006],[72.98249490454991,19.158407318223333],[72.9825885172391,19.163169605428443],[72.98364086906916,19.16674135283357],[72.98364978881203,19.17042904461253],[72.98661508905082,19.180096348570995],[72.98413586923789,19.183610136325893],[72.98294080334934,19.18299030470599],[72.98333768770966,19.182223360188686],[72.98361410983857,19.180555640704856],[72.98358735060494,19.178236877237946],[72.9813890286394,19.171151384522926],[72.979440443561,19.160280142002538],[72.97944927336277,19.158331486236037],[72.97907923230478,19.156895644985838],[72.97857088666642,19.15117015123534],[72.97582848631363,19.150835704892682],[72.97528003845949,19.150407626571834],[72.97694772324074,19.15000185365823],[72.97825427381692,19.14871318792083],[72.97721973791813,19.146389982553803],[72.9763903579703,19.143607559619962],[72.97574379098317,19.142983280932004],[72.97237271195692,19.134573393612943],[72.971293639343,19.133534393655086],[72.97083429314262,19.131666051576985],[72.97021005662381,19.13040414590291],[72.9691353892278,19.12972632472309],[72.96803404605349,19.13029262404118],[72.96666950150626,19.1302257579069],[72.96790474624426,19.125343010077874],[72.9670842539603,19.122939630631357],[72.96552354471442,19.12023294833949],[72.96499732901096,19.119724579113548],[72.96153707119566,19.11284417253627],[72.95943685151414,19.106102061387595],[72.95907119440805,19.103435452278326],[72.95749718640594,19.10250352410738],[72.9572251490424,19.101665185138184],[72.95682831093724,19.10128170122592],[72.95768443155127,19.097848220248412],[72.95722073372654,19.096947512148017],[72.9569486960457,19.093054708460556],[72.95662322359071,19.09210491349602],[72.95525870339335,19.091663447190612],[72.95451403951806,19.090892047684527],[72.9556689703788,19.08898804227673],[72.95611933512114,19.085759591227358],[72.95611482967577,19.083329354251955],[72.9558116130058,19.08304401015419],[72.95582503924993,19.08140755170747],[72.95613717668395,19.08019910462043],[72.95612375045754,19.0778848309953],[72.95766217479728,19.071882889321273],[72.95836222530134,19.070175035889218],[72.95833104791267,19.068600982223373],[72.95555299996751,19.068056937868395],[72.95224876556634,19.06641599218288],[72.95083078443834,19.06534137977784],[72.94683541305889,19.06136382297112],[72.94492249866462,19.059945852435916],[72.94327261115063,19.059446439806454],[72.94034749979075,19.060043930394315],[72.93825610422257,19.06173397560062],[72.93655723731665,19.06523440274258],[72.93610683549632,19.067530779945027],[72.93426971352736,19.07120061601189],[72.9319063784782,19.073920729829418],[72.93083171789831,19.074442447463113],[72.93029668381867,19.074999805740145],[72.92687205878548,19.075829146658105],[72.92354111072198,19.07526286370043],[72.92193586573131,19.074437909808882],[72.92194920376465,19.073791360745837]]]}"
00000000000000000007,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.18468839747143,19.168921805757222],[73.18569607723683,19.168747923127103],[73.18635609873995,19.170428987789307],[73.18588340759531,19.173621705001295],[73.18436288551797,19.173871425930795],[73.18315445428792,19.170660882068866],[73.18468839747143,19.168921805757222]]]}"
00000000000000000003,2.090209908468209,20902.09908468209,"{""type"":""Polygon"",""coordinates"":[[[72.89852557049969,19.123956240674882],[72.90054548015368,19.122765708186545],[72.905695807819,19.12235991153009],[72.90761768882358,19.124602832037255],[72.90805913164675,19.127024102387267],[72.91093074332584,19.12690370214569],[72.91239780978763,19.12734519659688],[72.91304436884575,19.128504573385836],[72.91223279004387,19.129177861907564],[72.91038232601528,19.129877972726966],[72.90937011650384,19.13159023848669],[72.90724753595629,19.132687148769143],[72.90729656524644,19.130332801486663],[72.90621746790791,19.129730801114768],[72.90499127648863,19.129989433108626],[72.90387647783508,19.130546844024376],[72.9033191216301,19.132499906932228],[72.9037338041433,19.1332490285193],[72.90302476060222,19.133645924946823],[72.90251201635732,19.13304387938509],[72.90174059963495,19.132700554311608],[72.90092005972025,19.130858922965274],[72.89835612480525,19.127291683655276],[72.89639856771554,19.126065432668582],[72.89852557049969,19.123956240674882]]]}"
00000000000000000001,0.04704074172973633,470.4074172973633,"{""type"":""Polygon"",""coordinates"":[[[72.94166290321041,18.944486380900365],[72.94451230322079,18.942809706337567],[72.94541748971963,18.942640297391907],[72.94595257992803,18.943215568297173],[72.9472992212907,18.944539838665776],[72.9477718596006,18.94686303767192],[72.94666158611507,18.94721536231196],[72.94277320004504,18.949676749194985],[72.94035642116472,18.946385904933102],[72.94166290321041,18.944486380900365]]]}"
00000000000000000009,0.03755897216796875,375.5897216796875,"{""type"":""Polygon"",""coordinates"":[[[73.05618598247754,19.279021468873626],[73.05720710894609,19.277763997181545],[73.05918693038001,19.277514282956535],[73.05911559549449,19.27693909754808],[73.05958386538352,19.27680537310201],[73.0599539591501,19.2772691183264],[73.06192484035617,19.2790660790922],[73.06260260272981,19.280412766789606],[73.06245552170819,19.28159888665676],[73.05983353688208,19.28319075049188],[73.05796964078179,19.282958892108233],[73.0563732388722,19.28168355517189],[73.05557062033098,19.280626821973907],[73.05618598247754,19.279021468873626]]]}"
00000000000000000000,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.0669458190326,18.88918012341795],[73.0679179022117,18.88875204432978],[73.06855106454195,18.890798807386766],[73.07014296928361,18.891374047269174],[73.07219419105142,18.891298169526042],[73.07306366941728,18.892769741891485],[73.07344716111405,18.89604273447503],[73.07468679501864,18.89648862843413],[73.0749900377833,18.895824178868107],[73.07602450060007,18.894736167254123],[73.07694313860218,18.89468266375046],[73.07742911463895,18.8962566902078],[73.07839232764712,18.89776836092727],[73.07917262180047,18.897509735054587],[73.0813264325096,18.895842041620774],[73.0816608274925,18.897063836295708],[73.08085820667004,18.898129561942326],[73.07890063591094,18.898013584455647],[73.07771452151191,18.89979724230044],[73.07828083110638,18.90192423284613],[73.07743803079462,18.90197329782415],[73.07647040073793,18.899458399769728],[73.0754270236863,18.899137305207965],[73.07425422082221,18.897826372528705],[73.07280059266432,18.897799603350595],[73.07189535776854,18.89730907791681],[73.07111954225162,18.898004711774988],[73.07183744639144,18.899931030250222],[73.074142812346,18.903364580540895],[73.07421855570551,18.904622010995766],[73.07345166430069,18.905825933084486],[73.07287642652798,18.90364098769574],[73.07124437181061,18.90354287030674],[73.07067804495868,18.90512140367755],[73.07003146875975,18.907212697142032],[73.0695454771568,18.906811419354884],[73.06938047755146,18.90405573455136],[73.06971488983862,18.90332437811399],[73.07053538225043,18.90294981339796],[73.07057555117845,18.90231663338896],[73.0702856322341,18.901380257497696],[73.06940272368416,18.900225302065238],[73.06914414603389,18.89534263968738],[73.06953205743345,18.89317551425011],[73.06787773282188,18.892123161302138],[73.06695914883977,18.89067842242962],[73.06586673256813,18.89017896251871],[73.06577747646374,18.888618323750013],[73.0669458190326,18.88918012341795]]]}"
00000000000000000005,0.0,0.0,"{""type"":""Polygon"",""coordinates"":[[[73.17850809113247,18.839251564208524],[73.17930622743303,18.839028614612083],[73.17942658679041,18.839184702276494],[73.1812548348347,18.83957263808315],[73.18198616591259,18.841570348931366],[73.1832524865324,18.84327815627624],[73.18247668933087,18.843594710588178],[73.17790611120982,18.84235065342314],[73.17751811372885,18.840584839338366],[73.17850809113247,18.839251564208524]]]}"
00000000000000000006,0.2300532874761843,2300.5328747618432,"{""type"":""Polygon"",""coordinates"":[[[73.1454750577657,18.908684271299986],[73.14631778780739,18.907529358227972],[73.14526095341772,18.9066821072051],[73.1450156965493,18.906138137157978],[73.14597448373482,18.905973118524596],[73.14695991719059,18.90665085266277],[73.14720958366371,18.9072394649764],[73.14788736418103,18.90725290792827],[73.1486632799374,18.908068891258218],[73.14869893346382,18.909718745817816],[73.14776257636832,18.90998633771272],[73.14613051473478,18.910944999140707],[73.14584510307256,18.912247075001183],[73.14478385473625,18.912764296536377],[73.14445837544254,18.91173869836438],[73.1454750577657,18.908684271299986]]]}"
00000000000000000008,0.00939461669921875,93.9461669921875,"{""type"":""Polygon"",""coordinates"":[[[72.912602935209,19.190303270623023],[72.91417255344143,19.190008891910534],[72.91448023922648,19.18966112723579],[72.91443112128205,19.18880497491376],[72.91328067700363,19.187703531551275],[72.91337431697573,19.186120546619456],[72.91541663260593,19.18597345068377],[72.91620584985871,19.186735945225724],[72.91938080751612,19.186544255745815],[72.92085674426826,19.188198539174078],[72.92263593123279,19.189233044372497],[72.92325128062565,19.19121733607116],[72.92247542463518,19.193366593063107],[72.92251994472416,19.19409344100517],[72.92360356473586,19.195872616849304],[72.92272506146418,19.195823564631933],[72.92167270978575,19.194713287497887],[72.91995155460961,19.194129134713215],[72.91648676623136,19.194334240644377],[72.91584021647282,19.19494511253897],[72.9170084929407,19.19645228702024],[72.91831501275387,19.1970498300033],[72.91769523460286,19.197491282160392],[72.91650019469263,19.196844704188372],[72.91500638640983,19.195270658356208],[72.91332528892946,19.19500755188694],[72.91250037252028,19.194561693597485],[72.91220611289275,19.19140466153337],[72.912602935209,19.190303270623023]]]}"
00000000000000000004,1.9469345177534516,19469.345177534517,"{""type"":""Polygon"",""coordinates"":[[[72.90111627212328,19.14082947271422],[72.90292219381509,19.142211859590468],[72.90438480286979,19.142269804191233],[72.90498677007714,19.14170795828301],[72.9055753968287,19.140468352334583],[72.90875031519347,19.13986187963769],[72.91048930579299,19.143442540303916],[72.9109441720988,19.146300853473615],[72.91151043302754,19.147495850748587],[72.91355718068475,19.146733361588755],[72.91418147579402,19.145823707738412],[72.91415912484953,19.145270785607508],[72.9152962265018,19.14500321557175],[72.91444896596761,19.144601867788825],[72.91589375021029,19.144173820415347],[72.91685248875285,19.144682195367427],[72.91824814131915,19.148409951291296],[72.9203082595857,19.149168057827026],[72.92221677537114,19.151076526207486],[72.92191351551158,19.15364944055748],[72.92030384358495,19.15440749442082],[72.91995155460961,19.15983865181254],[72.92054906668645,19.162126172921575],[72.92021462232793,19.162955566486325],[72.91855582186243,19.162375851122285],[72.91758816792229,19.162884226750894],[72.91672316111386,19.161947843115215],[72.9151803265569,19.162888690536256],[72.91555488325257,19.164476127871566],[72.91638429533094,19.16524304579831],[72.91611221099453,19.16669674916578],[72.91511787034247,19.167682220350695],[72.9139138951966,19.166380174769298],[72.9106989391532,19.16650948483704],[72.90947268053293,19.16533674308818],[72.90945925167749,19.16252745864943],[72.90917391085311,19.162215377852377],[72.90777369902813,19.161394832566852],[72.90672587810847,19.160382667843482],[72.90549509275891,19.158474144894264],[72.90270822745899,19.157943565150944],[72.90111627212328,19.154411896157917],[72.90143731384428,19.152784384250403],[72.90288208640398,19.15314557236363],[72.9038185251076,19.155548956569753],[72.90568237875198,19.15512987668457],[72.90638249179442,19.15447877787093],[72.90549067648493,19.152481111568132],[72.90422428403458,19.15111662962823],[72.90266802988302,19.150746505615686],[72.90137494417802,19.14948458769133],[72.90172717034653,19.145600753011763],[72.90032700517997,19.144240677636617],[72.89970718050299,19.143067977074967],[72.89969384123104,19.141409170193523],[72.90111627212328,19.14082947271422]]]}"
